"Par","Precio de Apertura","Precio Máximo","Precio Mínimo","Precio de Cierre","Volumen","Número de Operaciones","Variación Porcentual","Timestamp","Orden"
"BTCUSDT","117689.68000000","117981.57000000","117660.00000000","117847.66000000","309.07591000","59518","0.13423437%","12-07-2025 03:00:00","138"
"BTCUSDT","117646.43000000","117718.82000000","117506.37000000","117689.68000000","227.73150000","48023","0.03676270%","12-07-2025 02:00:00","139"
"BTCUSDT","117774.42000000","117876.57000000","117587.00000000","117646.44000000","231.58516000","58069","-0.10866536%","12-07-2025 01:00:00","140"
"BTCUSDT","117599.98000000","117847.66000000","117599.97000000","117774.42000000","235.13774000","37629","0.14833336%","12-07-2025 00:00:00","141"
"BTCUSDT","117644.80000000","117800.43000000","117556.00000000","117599.99000000","319.10692000","46608","-0.03808923%","11-07-2025 23:00:00","142"
"BTCUSDT","117407.99000000","117697.49000000","117407.99000000","117644.81000000","322.02488000","61007","0.20170689%","11-07-2025 22:00:00","143"
"BTCUSDT","117527.66000000","117646.97000000","117141.13000000","117407.99000000","392.55028000","64149","-0.10182284%","11-07-2025 21:00:00","144"
"BTCUSDT","117615.88000000","117677.24000000","117436.59000000","117527.66000000","205.15806000","45405","-0.07500688%","11-07-2025 20:00:00","145"
"BTCUSDT","117619.99000000","117665.92000000","117146.80000000","117615.89000000","505.97498000","130932","-0.00348580%","11-07-2025 19:00:00","146"
"BTCUSDT","117664.46000000","117880.01000000","117471.09000000","117619.99000000","279.72136000","95371","-0.03779391%","11-07-2025 18:00:00","147"
"BTCUSDT","118108.81000000","118108.81000000","117659.19000000","117664.46000000","355.65991000","102540","-0.37622088%","11-07-2025 17:00:00","148"
"BTCUSDT","117694.02000000","118138.75000000","117426.58000000","118108.81000000","639.64596000","117950","0.35243082%","11-07-2025 16:00:00","149"
"BTCUSDT","117640.01000000","117734.55000000","117300.00000000","117694.01000000","408.58924000","88976","0.04590275%","11-07-2025 15:00:00","150"
"BTCUSDT","117393.38000000","117745.70000000","117250.00000000","117640.00000000","775.16024000","129780","0.21007999%","11-07-2025 14:00:00","151"
"BTCUSDT","116902.58000000","117433.40000000","116604.87000000","117393.39000000","931.33103000","207613","0.41984531%","11-07-2025 13:00:00","152"
"BTCUSDT","117858.15000000","117960.00000000","116724.66000000","116902.59000000","1311.79050000","256385","-0.81077125%","11-07-2025 12:00:00","153"
"BTCUSDT","117989.17000000","118170.24000000","117388.00000000","117858.16000000","1074.59567000","239824","-0.11103561%","11-07-2025 11:00:00","154"
"BTCUSDT","117878.10000000","118189.18000000","117273.45000000","117989.18000000","1463.56142000","281057","0.09423294%","11-07-2025 10:00:00","155"
"BTCUSDT","117821.91000000","118259.24000000","117741.94000000","117878.11000000","861.42649000","114974","0.04769911%","11-07-2025 09:00:00","156"
"BTCUSDT","117983.78000000","118110.60000000","117583.16000000","117821.91000000","808.62177000","115954","-0.13719682%","11-07-2025 08:00:00","157"
"BTCUSDT","118470.35000000","118470.35000000","117946.72000000","117983.78000000","1340.00944000","137022","-0.41071036%","11-07-2025 07:00:00","158"
"BTCUSDT","117964.75000000","118869.98000000","117883.74000000","118470.34000000","1514.60180000","165240","0.42859414%","11-07-2025 06:00:00","159"
"BTCUSDT","117526.88000000","118133.00000000","117526.88000000","117964.76000000","1000.82860000","106710","0.37257860%","11-07-2025 05:00:00","160"
"BTCUSDT","117648.32000000","118108.79000000","117468.53000000","117526.88000000","3129.43875000","178015","-0.10322289%","11-07-2025 04:00:00","161"
"BTCUSDT","117860.38000000","118400.00000000","117602.22000000","117648.33000000","1499.83544000","193919","-0.17991627%","11-07-2025 03:00:00","162"
"BTCUSDT","116918.16000000","118404.22000000","116918.16000000","117860.37000000","2636.87379700","326207","0.80587139%","11-07-2025 02:00:00","163"
"BTCUSDT","116881.69000000","116929.00000000","116500.00000000","116918.16000000","674.02539000","89708","0.03120249%","11-07-2025 01:00:00","164"
"BTCUSDT","116672.57000000","116950.00000000","116390.25000000","116881.70000000","1276.21161100","119925","0.17924522%","11-07-2025 00:00:00","165"
"BTCUSDT","115967.57000000","116800.00000000","115702.86000000","116672.57000000","1353.14236000","159301","0.60792858%","10-07-2025 23:00:00","166"
"BTCUSDT","115590.64000000","116078.85000000","115514.57000000","115967.57000000","786.25654000","122207","0.32609042%","10-07-2025 22:00:00","167"
"BTCUSDT","116010.01000000","116098.80000000","115222.22000000","115590.63000000","1041.06079000","183179","-0.36150329%","10-07-2025 21:00:00","168"
"BTCUSDT","116008.38000000","116099.99000000","115645.88000000","116010.00000000","1291.02859000","105414","0.00139645%","10-07-2025 20:00:00","169"
"BTCUSDT","116490.52000000","116499.95000000","115800.00000000","116008.38000000","2278.63989000","230720","-0.41388776%","10-07-2025 19:00:00","170"
"BTCUSDT","113493.16000000","116868.00000000","113385.36000000","116490.52000000","6314.07127400","720732","2.64100497%","10-07-2025 18:00:00","171"
"BTCUSDT","113301.80000000","113580.00000000","113270.98000000","113493.16000000","554.81409000","71914","0.16889405%","10-07-2025 17:00:00","172"
"BTCUSDT","113420.01000000","113680.00000000","113098.45000000","113301.81000000","946.49177000","112111","-0.10421442%","10-07-2025 16:00:00","173"
"BTCUSDT","113722.83000000","113760.97000000","112985.64000000","113420.00000000","1310.78452000","167862","-0.26628778%","10-07-2025 15:00:00","174"
"BTCUSDT","112643.47000000","113788.23000000","112545.95000000","113722.82000000","2757.37600100","308775","0.95820024%","10-07-2025 14:00:00","175"
"BTCUSDT","111408.40000000","112725.38000000","111322.32000000","112643.48000000","2446.38540000","299340","1.10860581%","10-07-2025 13:00:00","176"
"BTCUSDT","111247.56000000","111408.41000000","110969.51000000","111408.40000000","589.60583000","127180","0.14457845%","10-07-2025 12:00:00","177"
"BTCUSDT","110801.78000000","111319.24000000","110642.30000000","111247.57000000","729.68377000","174030","0.40233108%","10-07-2025 11:00:00","178"
"BTCUSDT","110869.00000000","111039.99000000","110500.00000000","110800.01000000","544.26918000","148618","-0.06222659%","10-07-2025 10:00:00","179"
"BTCUSDT","111019.99000000","111020.00000000","110752.35000000","110869.00000000","357.65859000","65051","-0.13600253%","10-07-2025 09:00:00","180"
"BTCUSDT","111088.51000000","111173.95000000","110967.00000000","111019.99000000","363.68320000","58192","-0.06168055%","10-07-2025 08:00:00","181"
"BTCUSDT","111041.37000000","111098.30000000","110870.33000000","111088.51000000","356.07524000","53923","0.04245265%","10-07-2025 07:00:00","182"
"BTCUSDT","111233.34000000","111258.00000000","111021.57000000","111041.36000000","286.97004000","46264","-0.17259214%","10-07-2025 06:00:00","183"
"BTCUSDT","111229.99000000","111398.96000000","111102.78000000","111233.33000000","401.06449000","56036","0.00300279%","10-07-2025 05:00:00","184"
"BTCUSDT","111233.33000000","111432.46000000","111144.08000000","111230.00000000","502.09594000","77193","-0.00299371%","10-07-2025 04:00:00","185"
"BTCUSDT","111086.14000000","111306.49000000","111086.14000000","111233.34000000","395.68308000","59213","0.13250978%","10-07-2025 03:00:00","186"
"BTCUSDT","111150.00000000","111164.35000000","110898.00000000","111086.14000000","477.20128000","43823","-0.05745389%","10-07-2025 02:00:00","187"
"BTCUSDT","111074.52000000","111185.77000000","110951.59000000","111150.00000000","292.13383000","48910","0.06795438%","10-07-2025 01:00:00","188"
"BTCUSDT","111213.91000000","111221.14000000","110986.33000000","111074.51000000","317.73205000","40373","-0.12534403%","10-07-2025 00:00:00","189"
"BTCUSDT","111189.70000000","111581.00000000","111150.00000000","111213.91000000","493.35901000","72027","0.02177360%","09-07-2025 23:00:00","190"
"BTCUSDT","110916.66000000","111356.00000000","110880.00000000","111189.71000000","474.28195000","66675","0.24617582%","09-07-2025 22:00:00","191"
"BTCUSDT","111234.00000000","111319.24000000","110916.66000000","110916.66000000","402.36165000","72641","-0.28529047%","09-07-2025 21:00:00","192"
"BTCUSDT","111382.17000000","111521.00000000","111229.92000000","111233.99000000","613.49597000","79282","-0.13303745%","09-07-2025 20:00:00","193"
"BTCUSDT","110818.36000000","111403.85000000","110818.36000000","111382.17000000","582.41183000","115642","0.50876949%","09-07-2025 19:00:00","194"
"BTCUSDT","110714.97000000","111280.00000000","110682.39000000","110818.36000000","689.32229000","138897","0.09338394%","09-07-2025 18:00:00","195"
